4 5 6 7	2 4 5 6 7 7	4 5 6 7 7 3
4 5 8 9 10 11 7	2 8 5 9 7 7 10 11 12	8 5 9 7 7 10 11 12 3
4 12 9 13 14 9 15 16 9 17 18 7	2 13 5 14 7 15 16 17 18	13 5 14 7 15 16 17 18 3
4 5 19 20 21 22 23 7	2 4 5 6 7 7 19 11 15	4 5 6 7 7 19 11 15 3
4 12 9 24 25 9 26 27 14 9 28 7	2 13 5 14 7 11 16 20 18	13 5 14 7 11 16 20 18 3
4 12 9 29 16 9 30 14 9 15 7	2 21 5 14 7 22	21 5 14 7 22 3
4 5 6 20 31 23 7	2 4 5 6 7 7 19 11 12	4 5 6 7 7 19 11 12 3
4 32 5 14 9 30 33 34 14 9 15 7	2 8 7 9 11 11 10 20 12 23 24 17 14 15 15 25 26 18	8 7 9 11 11 10 20 12 23 24 17 14 15 15 25 26 18 3
4 32 35 36 25 9 11 37 38 39 14 7	2 27 7 16 11 15 23 8 26 10 22 22 9 18 18	27 7 16 11 15 23 8 26 10 22 22 9 18 18 3
4 35 40 7	2 27 5 6 7 7	27 5 6 7 7 3
4 35 16 9 30 37 38 39 8 32 7	2 27 5 16 7 20 23 8 15 10 17 17 9 26 26	27 5 16 7 20 23 8 15 10 17 17 9 26 26 3
4 32 5 6 20 41 23 42 7	2 4 7 6 11 11 19 20 15 28 17 17	4 7 6 11 11 19 20 15 28 17 17 3
4 43 44 9 45 34 46 7	2 29 5 30 11 20 31 12 15	29 5 30 11 20 31 12 15 3
4 35 25 9 47 15 12 9 48 37 49 50 25 9 51 15 7	2 27 5 16 7 12 23 21 15 14 17 26 23 13 18 14 32 32 16 33 34	27 5 16 7 12 23 21 15 14 17 26 23 13 18 14 32 32 16 33 34 3
4 32 35 25 9 52 20 53 9 54 55 7	2 27 7 16 11 12 35 15 18	27 7 16 11 12 35 15 18 3
4 32 35 25 9 52 37 56 57 9 54 7	2 27 7 16 11 12 23 27 7 16 26 18	27 7 16 11 12 23 27 7 16 26 18 3
4 35 25 9 54 58 9 59 55 7	2 27 5 16 7 20 35 12 26	27 5 16 7 20 35 12 26 3
4 43 60 9 61 57 9 54 62 63 8 7	2 29 5 30 11 17 31 26 18	29 5 30 11 17 31 26 18 3
4 35 64 7	2 27 5 6 7 7	27 5 6 7 7 3
4 65 25 9 26 27 20 53 9 66 55 7	2 27 5 16 7 12 35 15 18	27 5 16 7 12 35 15 18 3
4 32 35 67 7	2 27 7 6 11 11	27 7 6 11 11 3
4 35 25 9 52 37 56 57 9 54 7	2 27 5 16 7 20 16 17 22	27 5 16 7 20 16 17 22 3
4 68 69 9 70 14 9 71 7	2 13 5 36 7 7 14 11 17	13 5 36 7 7 14 11 17 3
4 72 73 32 12 39 25 9 74 7	2 13 20 37 7 7 14 12 12 16 15 26	13 20 37 7 7 14 12 12 16 15 26 3
4 35 25 9 52 37 12 9 18 16 9 13 14 9 15 7	2 27 5 16 7 20 23 21 15 14 17 38	27 5 16 7 20 23 21 15 14 17 38 3
4 75 65 25 76 19 37 77 78 79 13 32 7	2 27 7 6 11 12 23 39 17 40 26 18	27 7 6 11 12 23 39 17 40 26 18 3
4 35 25 9 52 37 12 9 18 16 9 13 14 9 79 15 7	2 27 5 16 7 20 23 13 15 14 17 26 16 22 34	27 5 16 7 20 23 13 15 14 17 26 16 22 34 3
4 72 73 32 65 80 9 81 82 37 5 39 14 7	2 27 20 14 7 7 16 12 26 23 8 18 37 7 7 10 32 32 9 33 33	27 20 14 7 7 16 12 26 23 8 18 37 7 7 10 32 32 9 33 33 3
4 83 73 32 5 6 7	2 4 20 14 7 7 6 12 12	4 20 14 7 7 6 12 12 3
4 72 73 84 9 85 86 9 30 7	2 29 11 41 7 7 30 20 26	29 11 41 7 7 30 20 26 3
4 75 84 9 87 33 34 57 9 88 7	2 29 7 30 11 20 23 24 15 14 12 12 25 17 22	29 7 30 11 20 23 24 15 14 12 12 25 17 22 3
4 32 84 9 70 7	2 29 7 30 11 20	29 7 30 11 20 3
4 32 84 9 52 7	2 29 7 30 11 20	29 7 30 11 20 3
4 75 35 25 9 54 58 9 59 55 7	2 27 7 16 11 12 35 15 22	27 7 16 11 12 35 15 22 3
4 84 9 54 7	2 29 5 30 7 11	29 5 30 7 11 3
4 77 9 30 89 90 14 9 91 7	2 39 5 40 7 12 30 15 26	39 5 40 7 12 30 15 26 3
4 49 9 13 14 9 15 57 9 52 7	2 13 5 14 7 11 16 20 22	13 5 14 7 11 16 20 22 3
4 83 73 32 12 39 25 9 74 7	2 13 20 37 7 7 14 12 12 16 15 26	13 20 37 7 7 14 12 12 16 15 26 3
4 32 65 80 9 30 37 5 39 8 7	2 27 7 16 11 12 23 8 17 10 26 26 9 22 22	27 7 16 11 12 23 8 17 10 26 26 9 22 22 3
4 75 72 73 84 9 92 37 49 39 57 9 52 7	2 29 20 41 11 11 30 12 15 23 13 26 37 11 11 14 22 22 16 18 33	29 20 41 11 11 30 12 15 23 13 26 37 11 11 14 22 22 16 18 33 3
4 75 65 25 76 19 37 77 78 79 13 7	2 27 7 6 11 12 23 39 17 40 26 18	27 7 6 11 12 23 39 17 40 26 18 3
4 83 73 32 65 80 9 81 82 37 5 39 14 7	2 27 20 14 7 7 16 12 26 23 8 18 37 7 7 10 32 32 9 33 33	27 20 14 7 7 16 12 26 23 8 18 37 7 7 10 32 32 9 33 33 3
4 49 9 93 14 9 15 16 9 30 7	2 13 5 14 7 15 16 17 22	13 5 14 7 15 16 17 22 3
4 32 5 14 9 94 11 14 9 15 7	2 8 7 9 11 11 10 20 22	8 7 9 11 11 10 20 22 3
4 75 35 16 9 30 37 38 39 8 32 7	2 27 7 16 11 12 23 8 17 10 26 26 9 22 22	27 7 16 11 12 23 8 17 10 26 26 9 22 22 3
4 75 83 73 32 65 25 9 81 82 37 5 39 14 7	2 27 12 14 11 11 16 15 22 23 8 32 37 11 11 10 33 33 9 42 42	27 12 14 11 11 16 15 22 23 8 32 37 11 11 10 33 33 9 42 42 3
